Muscle Group,Exercise,Intensity,METs
Chest,Push-ups,Low,3.8
Chest,Bench press,Moderate to high,3.9
Chest,Dumbbell flys,Moderate,2.9
Chest,Incline bench press,Moderate to high,5
Chest,Cable crossovers,High,5.5
Back,Lat pulldowns,Moderate,3.5
Back,Seated cable rows,Moderate,3.5
Back,Deadlifts,Moderate to high,6
Back,Reverse flys,Low to moderate,2.5
Back,Pull-ups,Moderate to high,8
Shoulders,Front raises,Low,2.5
Shoulders,Lateral raises,Moderate,3
Shoulders,Arnold press,Moderate to high,3.5
Shoulders,Shoulder press,Moderate to high,4.5
Shoulders,Face pulls,Moderate,2.5
Biceps,Concentration curls,Low to moderate,2.5
Biceps,Chin-ups,Moderate to high,6
Biceps,Barbell curls,Moderate to high,3
Biceps,Hammer curls,Moderate,3.5
Biceps,Preacher curls,Moderate,3.5
Triceps,Tricep pushdowns,Low to moderate,2.5
Triceps,Close-grip bench press,Moderate to high,3.8
Triceps,Tricep dips,Low to moderate,3.8
Triceps,Tricep kickbacks,Low to moderate,2.5
Triceps,Skull crushers,Moderate,2.5
Quads,Squats,Moderate to high,5
Quads,Leg press,Moderate to high,4
Quads,Leg extensions,Moderate,3
Quads,Step ups,Moderate,5
Quads,Lunges,Moderate,3.3
Hamstrings,Deadlifts,Moderate to high,6
Hamstrings,Lying leg curls,Moderate,2.5
Hamstrings,Good mornings,Moderate,3
Hamstrings,Stiff-legged deadlifts,Moderate to high,5
Hamstrings,Glute-ham raises,Moderate to high,6
Calves,Standing calf raises,Moderate to high,3.5
Calves,Seated calf raises,Moderate,2.5
Calves,Donkey calf raises,Moderate to high,5
Calves,Jump rope,Low to moderate,8
Calves,Tibialis raises,Low,2
Abs,Plank,Low to moderate,3
Abs,Crunches,Low,3
Abs,Leg raises,Low to moderate,3.5
Abs,Russian twists,Moderate,3
Abs,Cable woodchops,Moderate to high,4
Glutes,Glute bridges,Low to moderate,2.5
Glutes,Hip thrusts,Moderate to high,5.5
Glutes,Single-leg deadlifts,Moderate,5
Glutes,Step-ups,Moderate,5
Glutes,Reverse lunges,Moderate,3.5
Forearms,Farmer's walk,Moderate,6
Forearms,Wrist curls,Low to moderate,2
Forearms,Reverse wrist curls,Low to moderate,2
Forearms,Grip squeezes,Low,2
Forearms,Plate pinches,Low to moderate,3
