title,exercise_type,target_muscle_group,equipment,experience_level,exercise_rating,exercise_rating_description,alternative_exercises
Rickshaw Carry,Strongman,Forearms,Other,Beginner,9.6,Average,Dumbbell farmer&#x27;s walk
Single-Leg Press,Strength,Quadriceps,Machine,Intermediate,9.6,Average,Barbell Bulgarian split squat
Landmine twist,Strength,Abdominals,Other,Intermediate,9.5,Average,Russian twist
Weighted pull-up,Strength,Lats,Other,Intermediate,9.5,Average,N/A
T-Bar Row with Handle,Strength,Middle Back,Other,Intermediate,9.5,Average,Seated Cable Rows
Palms-down wrist curl over bench,Strength,Forearms,Barbell,Intermediate,9.5,Average,"Palms-Down Dumbbell Wrist Curl Over A Bench,Seated palms-down wrist curl,Seated One-Arm Dumbbell Palms-Down Wrist Curl"
Atlas Stones,Strongman,Lower Back,Other,Intermediate,9.5,Average,Atlas Stone Trainer
Dumbbell front raise to lateral raise,Strength,Shoulders,Dumbbell,Intermediate,9.5,Average,N/A
Clean from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.5,Average,"Power clean,Hang Clean"
Incline Hammer Curls,Strength,Biceps,Dumbbell,Beginner,9.5,Average,N/A
Straight-bar wrist roll-up,Strength,Forearms,N/A,Intermediate,9.5,Average,Plate Pinch
Barbell glute bridge,Powerlifting,Glutes,Barbell,Intermediate,9.4,Average,"Glute bridge,Barbell Hip Thrust"
Clean and press,Strength,Shoulders,Barbell,Intermediate,9.4,Average,"Military press,Single-arm kettlebell push-press,Circus Bell"
Triceps dip,Strength,Triceps,Body Only,Intermediate,9.4,Average,"Decline Close-Grip Bench To Skull Crusher,Feet-elevated bench dip"
Dumbbell farmer&#x27;s walk,Strongman,Forearms,Other,Intermediate,9.4,Average,Rickshaw Carry
Palms-up wrist curl over bench,Strength,Forearms,Barbell,Intermediate,9.4,Average,"Palms-Up Dumbbell Wrist Curl Over A Bench,Seated Dumbbell Palms-Up Wrist Curl,Seated One-Arm Dumbbell Palms-Up Wrist Curl"
Barbell Full Squat,Strength,Quadriceps,Barbell,Intermediate,9.4,Average,"Barbell front squat,Leg Press"
Barbell deficit deadlift,Powerlifting,Lower Back,Barbell,Beginner,9.4,Average,Snatch Deadlift
Barbell Deadlift,Strength,Hamstrings,Barbell,Intermediate,9.4,Average,N/A
Single-arm palm-in dumbbell shoulder press,Strength,Shoulders,Dumbbell,Intermediate,9.4,Average,Machine Shoulder (Military) Press
Romanian Deadlift With Dumbbells,Strength,Hamstrings,Dumbbell,Beginner,9.4,Average,Romanian Deadlift with Kettlebell
Tire flip,Strongman,Quadriceps,Other,Intermediate,9.4,Average,N/A
Clean Deadlift,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.4,Average,N/A
Elbow plank,Strength,Abdominals,Body Only,Intermediate,9.3,Average,N/A
Bottoms Up,Strength,Abdominals,Body Only,Intermediate,9.3,Average,Kneeling cable crunch
Barbell back squat to box,Powerlifting,Quadriceps,Barbell,Intermediate,9.3,Average,"Box Squat with Bands,Box Squat with Chains"
Clean and jerk,Olympic Weightlifting,Shoulders,Barbell,Intermediate,9.3,Average,"Single-arm kettlebell clean and jerk,Push-jerk"
Single-arm kettlebell push-press,Strength,Shoulders,Kettlebells,Intermediate,9.3,Average,N/A
Push-press,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,9.3,Average,"Single-arm kettlebell push-press,Behind-the-head push-press"
Suspended ab fall-out,Strength,Abdominals,Other,Intermediate,9.3,Average,Bench barbell roll-out
Military press,Strength,Shoulders,Barbell,Intermediate,9.3,Average,"Machine Shoulder (Military) Press,Barbell Shoulder Press,Seated dumbbell shoulder press"
Power snatch-,Olympic Weightlifting,Quadriceps,Barbell,Expert,9.3,Average,Hang Snatch
Sumo deadlift,Powerlifting,Hamstrings,Barbell,Beginner,9.3,Average,"Zercher squat,Sumo Deadlift with Chains"
Hang Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.3,Average,"Power clean,Clean"
Dumbbell V-Sit Cross Jab,Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,N/A
Reverse Band Box Squat,Powerlifting,Quadriceps,N/A,Intermediate,9.3,Average,"Box Squat with Bands,Box Squat with Chains,Squat with Bands"
Standing palms-in shoulder press,Strength,Shoulders,Dumbbell,Intermediate,9.3,Average,"Machine Shoulder (Military) Press,Standing Bent-Over One-Arm Dumbbell Triceps Extension"
Standing cable low-to-high twist,Strength,Abdominals,Cable,Intermediate,9.3,Average,N/A
Decline EZ-bar skullcrusher,Strength,Triceps,E-Z Curl Bar,Intermediate,9.3,Average,"Decline Dumbbell Triceps Extension,Decline Close-Grip Bench To Skull Crusher,Seated triceps press"
Standing behind-the-back wrist curl,Strength,Forearms,Barbell,Beginner,9.3,Average,"Seated Dumbbell Palms-Up Wrist Curl,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Seated palms-up wrist curl"
Seated finger curl,Strength,Forearms,Barbell,Beginner,9.3,Average,N/A
Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,9.3,Average,"Dumbbell Bicep Curl,Dumbbell Alternate Bicep Curl"
Dumbbell spell caster,Strength,Abdominals,Dumbbell,Beginner,9.3,Average,N/A
Dumbbell floor press,Powerlifting,Triceps,Dumbbell,Intermediate,9.3,Average,"Tate Press,Board bench press,Floor Press"
Lying Face Down Plate Neck Resistance,Strength,Neck,Other,Beginner,9.3,Average,N/A
Pullups,Strength,Lats,Body Only,Intermediate,9.2,Average,Lat pull-down
Decline reverse crunch,Strength,Abdominals,Other,Intermediate,9.2,Average,"Feet-elevated crunch,Reverse crunch,Cross-Body Crunch,Captain&#x27;s chair knee raise"
Dumbbell Bench Press,Strength,Chest,Dumbbell,Intermediate,9.2,Average,"Barbell Bench Press - Medium Grip,Incline dumbbell bench press,Kettlebell alternating floor press"
Jumping rope,Cardio,Quadriceps,Body Only,Intermediate,9.2,Average,N/A
Seated barbell shoulder press,Strength,Shoulders,Barbell,Intermediate,9.2,Average,"Machine Shoulder (Military) Press,Smith machine shoulder press,Handstand push-up,Seated dumbbell shoulder press"
EZ-bar spider curl,Strength,Biceps,Barbell,Intermediate,9.2,Average,"Concentration curl,Preacher Curl,Single-arm dumbbell preacher curl"
Smith machine shrug,Strength,Traps,Machine,Intermediate,9.2,Average,"Standing dumbbell shrug,Barbell shrug,Calf-Machine Shoulder Shrug"
Smith Machine Calf Raise,Strength,Calves,Machine,Intermediate,9.2,Average,"Standing Calf Raises,Standing barbell calf raise"
Romanian Deadlift from Deficit,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.2,Average,Good Morning
Power Snatch,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.2,Average,"Hang Snatch,Snatch from Blocks"
Pushups,Strength,Chest,Body Only,Intermediate,9.2,Average,"Dumbbell Bench Press,Barbell Bench Press - Medium Grip"
Barbell walking lunge,Strength,Quadriceps,Barbell,Intermediate,9.2,Average,"Dumbbell Lunges,Alternating lunge jump"
Front Squats With Two Kettlebells,Strength,Quadriceps,Kettlebells,Beginner,9.2,Average,N/A
Spider crawl,Strength,Abdominals,Body Only,Intermediate,9.2,Average,N/A
Power Clean from Blocks,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.2,Average,"Power clean,Hang Clean"
Single Leg Push-off,Plyometrics,Quadriceps,Other,Beginner,9.2,Average,N/A
Hip Circles (Prone),Stretching,Abductors,N/A,Intermediate,9.2,Average,N/A
Reverse-grip bent-over row,Strength,Middle Back,Barbell,Intermediate,9.2,Average,Dumbbell bent-over row
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Strength,Forearms,Cable,Beginner,9.2,Average,"Seated Dumbbell Palms-Up Wrist Curl,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Seated palms-up wrist curl"
Back extension,Strength,Lower Back,Body Only,Intermediate,9.1,Average,"Hyperextensions With No Hyperextension Bench,Exercise ball weighted hyperextension"
Close-grip bench press,Strength,Chest,Barbell,Intermediate,9.1,Average,"Incline Dumbbell Bench With Palms Facing In,Chest dip,Reverse-grip bench press"
Cocoons,Strength,Abdominals,Body Only,Intermediate,9.1,Average,N/A
Cross-Body Crunch,Strength,Abdominals,Body Only,Intermediate,9.1,Average,"Feet-elevated oblique crunch,Butt-Ups,Ab bicycle"
Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate,9.1,Average,"Incline Dumbbell Flyes,Cable Crossover,Butterfly"
Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,9.1,Average,"Preacher Hammer Dumbbell Curl,Alternate Hammer Curl,Cross-body hammer curl"
Incline dumbbell bench press,Strength,Chest,Dumbbell,Intermediate,9.1,Average,Smith Machine Incline Bench Press
Low-cable cross-over,Strength,Chest,Cable,Intermediate,9.1,Average,"Dumbbell Flyes,Butterfly"
Single-arm high-cable side bend,Strength,Abdominals,Cable,Intermediate,9.1,Average,N/A
Seated Dumbbell Press,Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,"Smith machine shoulder press,Handstand push-up,Barbell Shoulder Press"
Standing dumbbell shoulder press,Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,N/A
EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,9.1,Average,"Barbell Curl,Dumbbell Alternate Bicep Curl"
Olympic Squat ,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.1,Average,N/A
Natural Glute Ham Raise,Strength,Hamstrings,Body Only,Beginner,9.1,Average,N/A
Axle Deadlift,Strongman,Lower Back,Other,Beginner,9.1,Average,N/A
Zottman Curl,Strength,Biceps,N/A,Intermediate,9.1,Average,N/A
Glute ham raise-,Strength,Hamstrings,None,Beginner,9.1,Average,N/A
Single-arm lateral raise,Strength,Shoulders,Dumbbell,Intermediate,9.1,Average,"Lateral Raise - With Bands,Power Partials,Seated Side Lateral Raise"
